name,number,nation,appearances,goals,assists,shots,big_chances_created,clean_sheets,saves,goals_conceded,player_image,nation_flag,team,position
Jens Cajuste,12,Sweden,22,1,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p454667.png,https://resources.premierleague.com/premierleague/flags/SE.png,Ipswich Town,Midfielder
Julio Enciso,9,Paraguay,17,0,1,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p474120.png,https://resources.premierleague.com/premierleague/flags/PY.png,Ipswich Town,Midfielder
Tom,Taylor,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Midfielder
Wes Burns,7,Wales,18,0,1,7,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p149929.png,https://resources.premierleague.com/premierleague/flags/GB-WLS.png,Ipswich Town,Forward
Conor Chaplin,10,England,15,1,1,12,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p196411.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Forward
George Hirst,27,Scotland,17,2,1,6,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p222625.png,https://resources.premierleague.com/premierleague/flags/GB-SCT.png,Ipswich Town,Forward
Nathan Broadhead,33,Wales,13,0,0,9,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p173818.png,https://resources.premierleague.com/premierleague/flags/GB-WLS.png,Ipswich Town,Forward
Omari Hutchinson,20,England,27,3,2,36,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p503301.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Forward
Liam Delap,19,England,28,10,2,58,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p463034.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Forward
Jack Clarke,47,England,24,0,4,13,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p443261.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Forward
Chiedozie Ogbene,21,Ireland,5,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p229164.png,https://resources.premierleague.com/premierleague/flags/IE.png,Ipswich Town,Forward
Jaden Philogene,29,England,18,2,0,18,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/Photo-Missing.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Ipswich Town,Forward
Danny Ward,1,Wales,2,0,0,0,0,0,4,6,https://resources.premierleague.com/premierleague/photos/players/110x140/p95463.png,https://resources.premierleague.com/premierleague/flags/GB-WLS.png,Leicester City,Goalkeeper
Mads Hermansen,30,Denmark,22,0,0,0,0,1,84,47,https://resources.premierleague.com/premierleague/photos/players/110x140/p467189.png,https://resources.premierleague.com/premierleague/flags/DK.png,Leicester City,Goalkeeper
Jakub Stolarczyk,41,Poland,6,0,0,0,0,0,17,12,https://resources.premierleague.com/premierleague/photos/players/110x140/p436680.png,https://resources.premierleague.com/premierleague/flags/PL.png,Leicester City,Goalkeeper
Daniel Iversen,31,Denmark,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p207270.png,https://resources.premierleague.com/premierleague/flags/DK.png,Leicester City,Goalkeeper
James Justin,2,England,27,2,1,0,0,1,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p220627.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Defender
Wout Faes,3,Belgium,26,1,0,0,0,1,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p218218.png,https://resources.premierleague.com/premierleague/flags/BE.png,Leicester City,Defender
Conor Coady,4,England,13,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p94147.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Defender
Harry Souttar,15,Australia,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p194190.png,https://resources.premierleague.com/premierleague/flags/AU.png,Leicester City,Defender
Ricardo Pereira,21,Portugal,3,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p111931.png,https://resources.premierleague.com/premierleague/flags/PT.png,Leicester City,Defender
Jannik Vestergaard,23,Denmark,18,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p93100.png,https://resources.premierleague.com/premierleague/flags/DK.png,Leicester City,Defender
Luke Thomas,33,England,5,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p244619.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Defender
Caleb Okoli,5,Italy,16,0,0,0,0,1,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p473341.png,https://resources.premierleague.com/premierleague/flags/IT.png,Leicester City,Defender
Woyo Coulibaly,25,France,4,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p488439.png,https://resources.premierleague.com/premierleague/flags/FR.png,Leicester City,Defender
Harry Winks,8,England,22,0,2,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p157668.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Midfielder
Wilfred Ndidi,6,Nigeria,20,0,4,0,5,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p203341.png,https://resources.premierleague.com/premierleague/flags/NG.png,Leicester City,Midfielder
Kasey McAteer,35,Ireland,12,0,1,0,1,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p461587.png,https://resources.premierleague.com/premierleague/flags/IE.png,Leicester City,Midfielder
Boubakary Soumaré,24,France,22,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p225902.png,https://resources.premierleague.com/premierleague/flags/FR.png,Leicester City,Midfielder
Michael Golding,34,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p549640.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Midfielder
Facundo Buonanotte,40,Argentina,25,4,2,0,6,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p536916.png,https://resources.premierleague.com/premierleague/flags/AR.png,Leicester City,Midfielder
Oliver Skipp,22,England,16,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p209042.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Midfielder
El Khannouss,11,Morocco,24,2,1,0,6,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p513527.png,https://resources.premierleague.com/premierleague/flags/MA.png,Leicester City,Midfielder
Henry Cartwright,49,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p531997.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Midfielder
Jeremy Monga,93,England,0,0,0,0,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p649208.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Midfielder
Jamie Vardy,9,England,27,7,3,47,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p101668.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Forward
Stephy Mavididi,10,England,27,3,1,22,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p154048.png,https://resources.premierleague.com/premierleague/flags/GB-ENG.png,Leicester City,Forward
Patson Daka,20,Zambia,16,1,0,11,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p245419.png,https://resources.premierleague.com/premierleague/flags/ZM.png,Leicester City,Forward
De Cordova-Reid,14,Jamaica,20,1,2,6,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p96994.png,https://resources.premierleague.com/premierleague/flags/JM.png,Leicester City,Forward
Abdul Fatawu,7,Ghana,11,0,2,13,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p531442.png,https://resources.premierleague.com/premierleague/flags/GH.png,Leicester City,Forward
Jordan Ayew,18,Ghana,25,4,0,27,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p80146.png,https://resources.premierleague.com/premierleague/flags/GH.png,Leicester City,Forward
Odsonne Édouard,29,France,6,0,0,5,0,0,0,0,https://resources.premierleague.com/premierleague/photos/players/110x140/p199670.png,https://resources.premierleague.com/premierleague/flags/FR.png,Leicester City,Forward
Alisson Becker,1,Brazil,21,0,0,0,0,8,50,18,https://resources.premierleague.com/premierleague/photos/players/110x140/p116535.png,https://resources.premierleague.com/premierleague/flags/BR.png,Liverpool,Goalkeeper
Caoimhín Kelleher,62,Ireland,8,0,0,0,0,3,24,9,https://resources.premierleague.com/premierleague/photos/players/110x140/p200720.png,https://resources.premierleague.com/premierleague/flags/IE.png,Liverpool,Goalkeeper
